                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3742,                 2.2973,                 1.2126,                0.55068,                0.64629,                0.61243,                 0.4811,                 1.0422,                 1.4437,                 1.0719,               0.070278,              0.0033025,              0.0033025
                      1,                 1.1613,                 1.2425,                 1.0946,                0.60771,                0.64124,                0.65954,                 0.4684,                 1.2339,                 1.2368,                 1.0846,               0.040059,              0.0064168,              0.0064168
                      2,                 1.1415,                 1.1329,                  1.069,                0.68874,                0.69946,                 0.7282,                0.53544,                 1.0889,                 1.1511,                 1.0329,              0.0096198,              0.0093112,              0.0093112
                      3,                 1.1399,                 1.0577,                 1.0561,                0.69521,                0.72174,                 0.7618,                 0.5819,                 1.0141,                 1.0308,                 1.0151,                0.00901,                0.00901,                0.00901
                      4,                 1.1367,                 0.9693,                 1.0477,                0.74846,                0.74774,                0.78725,                0.58225,                  1.047,                 0.9652,                  1.034,                0.00901,                0.00901,                0.00901
                      5,                 1.1188,                0.90407,                 1.0384,                0.76909,                0.73254,                0.79171,                0.60126,                0.98753,                0.97315,                 1.0152,                0.00868,                0.00868,                0.00868
                      6,                 1.0994,                0.89286,                 1.0433,                0.78935,                0.79172,                0.82185,                0.59153,                 1.1322,                0.94707,                 1.0544,                0.00835,                0.00835,                0.00835
                      7,                 1.0652,                0.85013,                 1.0264,                0.80176,                0.79004,                0.82942,                0.63712,                0.94285,                0.87433,                0.99319,                0.00802,                0.00802,                0.00802
                      8,                 1.0426,                0.82665,                  1.019,                0.82068,                0.72419,                 0.8098,                  0.616,                0.97082,                 1.0115,                 1.0135,                0.00769,                0.00769,                0.00769
                      9,                 1.0413,                0.79259,                 1.0192,                0.85066,                0.77601,                0.84706,                0.64291,                0.99474,                0.85234,                 1.0145,                0.00736,                0.00736,                0.00736
                     10,                 1.0097,                 0.7785,                 1.0157,                0.78033,                0.77781,                0.83163,                0.62394,                 1.0571,                0.92411,                 1.0238,                0.00703,                0.00703,                0.00703
                     11,                0.99064,                0.74996,                 1.0027,                 0.8483,                0.82387,                0.86174,                0.67003,                0.90878,                0.77945,                0.98398,                 0.0067,                 0.0067,                 0.0067
                     12,                0.96863,                0.73961,                0.99637,                0.84241,                0.78348,                0.85935,                0.66156,                0.90487,                0.79585,                0.98113,                0.00637,                0.00637,                0.00637
                     13,                0.96939,                0.72564,                0.99769,                0.86312,                0.84494,                0.86861,                0.66835,                0.99218,                0.78071,                0.99755,                0.00604,                0.00604,                0.00604
                     14,                0.96546,                 0.7104,                0.98498,                0.80884,                0.80565,                0.83431,                0.63223,                 1.0242,                0.84255,                 1.0075,                0.00571,                0.00571,                0.00571
                     15,                0.94011,                0.68699,                0.98568,                0.84618,                0.80071,                0.86193,                 0.6674,                0.91842,                 0.7666,                0.98389,                0.00538,                0.00538,                0.00538
                     16,                0.92985,                0.67816,                0.97716,                0.84111,                0.82154,                0.86435,                0.67578,                0.90806,                0.77941,                0.98021,                0.00505,                0.00505,                0.00505
                     17,                0.91961,                0.67093,                0.97575,                0.79011,                0.79895,                0.82376,                0.62575,                 1.0288,                0.84948,                 1.0149,                0.00472,                0.00472,                0.00472
                     18,                0.90583,                0.65521,                0.97804,                0.86923,                0.81973,                0.87525,                0.68353,                0.94845,                0.72994,                0.99431,                0.00439,                0.00439,                0.00439
                     19,                0.89123,                0.64352,                0.96407,                 0.8757,                0.82269,                0.87665,                0.69309,                0.90801,                0.73253,                0.98284,                0.00406,                0.00406,                0.00406
                     20,                0.87451,                0.62665,                0.96793,                0.86897,                0.81792,                0.87702,                0.68891,                0.90871,                0.73679,                0.98143,                0.00373,                0.00373,                0.00373
                     21,                0.87172,                0.62868,                0.95837,                 0.8816,                0.84222,                0.89081,                0.70237,                0.89368,                0.69246,                0.97028,                 0.0034,                 0.0034,                 0.0034
                     22,                0.85438,                0.60773,                0.95807,                0.87515,                0.83026,                0.88591,                0.69364,                0.89553,                 0.7068,                0.97075,                0.00307,                0.00307,                0.00307
                     23,                0.84245,                0.59541,                0.95214,                0.87132,                0.84011,                0.88622,                0.68825,                0.92527,                0.69141,                0.97693,                0.00274,                0.00274,                0.00274
                     24,                0.83485,                0.58346,                0.94642,                0.89145,                0.85519,                0.90076,                0.72289,                0.83112,                0.62685,                0.94717,                0.00241,                0.00241,                0.00241
                     25,                0.83085,                0.57586,                0.94512,                0.87212,                0.85914,                0.89386,                0.71613,                0.83398,                0.66261,                0.95668,                0.00208,                0.00208,                0.00208
                     26,                0.82983,                0.56973,                0.94981,                0.88625,                0.84087,                 0.8983,                0.71518,                 0.8601,                  0.651,                 0.9636,                0.00175,                0.00175,                0.00175
                     27,                0.81247,                0.55826,                 0.9429,                0.88717,                0.85215,                 0.8984,                 0.7247,                0.83976,                0.64999,                0.95699,                0.00142,                0.00142,                0.00142
                     28,                0.80519,                0.55366,                0.93318,                0.91745,                0.83068,                0.90677,                0.71954,                0.88827,                0.65969,                0.96515,                0.00109,                0.00109,                0.00109
                     29,                0.79935,                0.54317,                0.94002,                0.85836,                  0.878,                0.90904,                0.73159,                0.84095,                0.62639,                0.95586,                0.00076,                0.00076,                0.00076
